Entropy 1: 0.500131
Entropy 2: 0.500117
Entropy 3: 0.500117
Entropy 4: 0.500117
Entropy 5: 0.500117
Entropy 6: 0.500131
Entropy 7: 0.500117
Entropy 8: 0.500117
Entropy 9: 0.500131
Entropy 10: 0.500131
Entropy 11: 0.500117
Entropy 12: 0.500131
Entropy 13: 0.500145
Entropy 14: 0.500131
Entropy 15: 0.500145
Entropy 16: 0.500131
Entropy 17: 0.500131
Entropy 18: 0.500145
Entropy 19: 0.500159
Entropy 20: 0.500172
Entropy 21: 0.500172
Entropy 22: 0.500159
Entropy 23: 0.500159
Entropy 24: 0.500159
Entropy 25: 0.500172
Entropy 26: 0.500172
Entropy 27: 0.500186
Entropy 28: 0.5002
Entropy 29: 0.5002
Entropy 30: 0.5002
Entropy 31: 0.5002
Entropy 32: 0.500186
Entropy 33: 0.500186
Entropy 34: 0.500186
Entropy 35: 0.500186
Entropy 36: 0.500186
Entropy 37: 0.5002
Entropy 38: 0.500186
Entropy 39: 0.500186
Entropy 40: 0.5002
Entropy 41: 0.500186
Entropy 42: 0.500186
Entropy 43: 0.500172
Entropy 44: 0.500159
Entropy 45: 0.500145
Entropy 46: 0.500131
Entropy 47: 0.500131
Entropy 48: 0.500131
Entropy 49: 0.500117
Entropy 50: 0.500103
Entropy 51: 0.50009
Entropy 52: 0.500076
Entropy 53: 0.50009
Entropy 54: 0.50009
Entropy 55: 0.500076
Entropy 56: 0.500062
Entropy 57: 0.500048
Entropy 58: 0.500034
Entropy 59: 0.500034
Entropy 60: 0.500034
Entropy 61: 0.500048
Entropy 62: 0.500062
Entropy 63: 0.500048
Entropy 64: 0.500034
Entropy 65: 0.500034
Entropy 66: 0.500034
Entropy 67: 0.500034
Entropy 68: 0.500034
Entropy 69: 0.500034
Entropy 70: 0.500048
Entropy 71: 0.500048
Entropy 72: 0.500062
Entropy 73: 0.500076
Entropy 74: 0.500076
Entropy 75: 0.500076
Entropy 76: 0.500076
Entropy 77: 0.500076
Entropy 78: 0.500076
Entropy 79: 0.500076
Entropy 80: 0.500076
Entropy 81: 0.50009
Entropy 82: 0.500103
Entropy 83: 0.500103
Entropy 84: 0.50009
Entropy 85: 0.500103
Entropy 86: 0.500103
Entropy 87: 0.500103
Entropy 88: 0.500103
Entropy 89: 0.50009
Entropy 90: 0.50009
Entropy 91: 0.500103
Entropy 92: 0.500117
Entropy 93: 0.500117
Entropy 94: 0.500117
Entropy 95: 0.500131
Entropy 96: 0.500117
Entropy 97: 0.500131
Entropy 98: 0.500117
Entropy 99: 0.500103
Entropy 100: 0.500117
